Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2026-04-26,"Monopoly Money",5.11b,"Bailed at the crux",https://www.mountainproject.com/route/201721588/monopoly-money,1,"Kentucky > Red River Gorge > (CRP) Cliffview Recreational Preserve > The Fed > 4 - Fiscal Cliff",3.7,-1,Lead,Fell/Hung,Sport,,90,4900
2026-04-26,"Ponzi Scheme",5.10a,,https://www.mountainproject.com/route/202093138/ponzi-scheme,1,"Kentucky > Red River Gorge > (CRP) Cliffview Recreational Preserve > The Fed > 4 - Fiscal Cliff",2.7,-1,Lead,Onsight,Sport,,45,2600
2026-04-26,"Invisible Hand Job",5.11a,,https://www.mountainproject.com/route/201721447/invisible-hand-job,1,"Kentucky > Red River Gorge > (CRP) Cliffview Recreational Preserve > The Fed > 4 - Fiscal Cliff",3.8,-1,Lead,Fell/Hung,Sport,,110,4600
2026-04-26,"Invisible Hand Job",5.11a,"One take! Then climbed again and two takes. ",https://www.mountainproject.com/route/201721447/invisible-hand-job,1,"Kentucky > Red River Gorge > (CRP) Cliffview Recreational Preserve > The Fed > 4 - Fiscal Cliff",3.8,-1,Lead,Fell/Hung,Sport,,110,4600
2026-04-12,"Flight of the intruder",5.10c,,https://www.mountainproject.com/route/113508501/flight-of-the-intruder,1,"Tennessee > Deep Creek > Hemlock Block > Hemlock Block Proper",3.6,-1,TR,,Sport,,70,3200
2026-04-12,"Swamp Cookie",5.10d,,https://www.mountainproject.com/route/115328992/swamp-cookie,1,"Tennessee > Deep Creek > Hemlock Block > Hemlock Block Proper",3.3,-1,TR,,Sport,,60,3500
2026-04-12,"Down Not Out",5.10b,,https://www.mountainproject.com/route/116811854/down-not-out,1,"Tennessee > Deep Creek > Hemlock Block > Hemlock Block Proper",3.0,-1,Lead,Fell/Hung,Sport,,70,2900
2026-04-12,"Bayou Boy",5.10b,,https://www.mountainproject.com/route/108925625/bayou-boy,1,"Tennessee > Deep Creek > Hemlock Block > Hemlock Block Proper",3.5,-1,Lead,Onsight,Sport,,65,2900
2026-04-12,Vertigo,5.9,,https://www.mountainproject.com/route/108925765/vertigo,1,"Tennessee > Deep Creek > Hemlock Block > Hemlock Block Proper",2.8,-1,Lead,Fell/Hung,Sport,,65,2400
2026-03-29,Fanfair,5.7+,,https://www.mountainproject.com/route/106078878/fanfair,1,"Tennessee > North Chick Gorge, Soddy TN > Leda > Upper Leda",2.7,-1,TR,,Sport,,60,1900
2026-03-22,Resonance,5.11a,,https://www.mountainproject.com/route/111416709/resonance,1,"Tennessee > Castle Rock > The Moat",3.4,-1,TR,,Sport,,,4600
2026-03-14,"Stolen Chimney","5.10 A0","Led pitches 1-3. Aided the aid parts. Toproped 4th pitch ",https://www.mountainproject.com/route/105717310/stolen-chimney,4,"Utah > Southeast Utah > Grand County > Fisher Towers > Ancient Art",3.7,-1,Lead,Fell/Hung,"Trad, Aid",,,3000
2026-03-12,"5.6 Corner",5.7,,https://www.mountainproject.com/route/105936677/56-corner,1,"Utah > Southeast Utah > Grand County > Kane Springs Canyon > Ice Cream Parlor",2.3,-1,Lead,Onsight,Trad,,50,1800
2026-03-12,"Brewed Awakenings",5.5,,https://www.mountainproject.com/route/106513977/brewed-awakenings,1,"Utah > Southeast Utah > Grand County > Kane Springs Canyon > Ice Cream Parlor",1.8,-1,TR,,Trad,,40,1500
2026-03-11,"Unknown 5.9 (AKA: P1 of American Psycho)",5.9+,,https://www.mountainproject.com/route/106058073/unknown-59-aka-p1-of-american-psycho,2,"Utah > Southeast Utah > San Juan County > Indian Creek > Scarface",2.2,-1,Lead,Fell/Hung,Trad,,40,2500
2026-03-11,"Wavy Gravy",5.10,,https://www.mountainproject.com/route/105717922/wavy-gravy,1,"Utah > Southeast Utah > San Juan County > Indian Creek > Scarface",3.2,-1,Lead,Fell/Hung,Trad,,70,3000
2026-03-11,"Mantel Illness",5.11b,,https://www.mountainproject.com/route/105718303/mantel-illness,1,"Utah > Southeast Utah > San Juan County > Indian Creek > Scarface",3.2,-1,TR,,Trad,,,4900
2026-03-11,Scarface,5.11a/b,,https://www.mountainproject.com/route/105717484/scarface,1,"Utah > Southeast Utah > San Juan County > Indian Creek > Scarface",3.8,-1,TR,,Trad,,,4800
2026-03-11,"3AM Crack",5.10,,https://www.mountainproject.com/route/105717766/3am-crack,1,"Utah > Southeast Utah > San Juan County > Indian Creek > Supercrack Buttress",3.5,-1,TR,,Trad,,115,3000
2026-03-10,"El Hombre Habitado",5.11+,"Come back for this.. used two wild country .4 but no smaller. Aided a bit ",https://www.mountainproject.com/route/121538218/el-hombre-habitado,1,"Utah > Southeast Utah > San Juan County > Indian Creek > Habitado",2.9,-1,Lead,Fell/Hung,Trad,,60,5300
